vector_sizes,epochs,w2v_type,accuracy,f1,recall,precision,roc_auc
100,5,skipgram,0.8492035705812571,0.8500782201259153,0.8552007653712799,0.8450239881663674,0.9130766531683384
100,10,skipgram,0.8515285278287468,0.8524131998195559,0.8577387660908611,0.8471820034194021,0.9142212817886683
100,15,skipgram,0.8509844049718891,0.8517451044590058,0.8562277833044609,0.847335161798459,0.9137242064493492
100,20,skipgram,0.8509844080303914,0.8514949869184907,0.8544943063916544,0.8485412686174385,0.9136066916758668
100,25,skipgram,0.8511574978527019,0.8514823113417854,0.853442846628327,0.8495417929134998,0.9120352237986896
100,30,skipgram,0.8485111348294568,0.8485138967160246,0.8486372965016056,0.848405687119195,0.9111123983928812
100,35,skipgram,0.8477939833203353,0.8480566817002817,0.8495517781509397,0.8465874223166028,0.9099882530920104
100,40,skipgram,0.8471755541493922,0.8472240851041566,0.8475707212808616,0.8469021459965473,0.9101401197638348
100,45,skipgram,0.8468787723758883,0.8470274331807248,0.8480335161462937,0.8460381656516832,0.9097937618282276
100,50,skipgram,0.8477444019390783,0.8478673292635047,0.8486115025122807,0.8471423604377766,0.9095939151348588
200,5,skipgram,0.8561041237756319,0.8568660085471744,0.8616466154848114,0.8521606923691591,0.9187477776643596
200,10,skipgram,0.8567471800073289,0.8572954772276796,0.8607585766622592,0.8538890242671305,0.920566602357661
200,15,skipgram,0.8569450375815004,0.8576575705736854,0.862052799177335,0.8533268723673435,0.9196620609214003
200,20,skipgram,0.8556836714604511,0.8563444711231387,0.8603338220049898,0.8524153826577144,0.9178279763242152
200,25,skipgram,0.8543481611259398,0.8546615383910832,0.8566396270895822,0.8527036142248783,0.917450469189256
200,30,skipgram,0.8541502026211916,0.8543163445795955,0.8554545863395513,0.8531894154463355,0.9165766881623484
200,35,skipgram,0.8521715748849369,0.852389573772912,0.853899969419556,0.8508987207910346,0.914880679163782
200,40,skipgram,0.8510834056337796,0.851056960915796,0.8510588707012356,0.8510690684236311,0.9142896280873708
200,45,skipgram,0.851083381165761,0.8508993108351406,0.8499551709183759,0.851886712225396,0.9137597703426396
200,50,skipgram,0.8519243439076668,0.8517841106300539,0.851150119951396,0.8524271448706514,0.9133475122879268
300,5,skipgram,0.8555352301084108,0.8563309295275356,0.8612510350856235,0.8514993940538174,0.91877495408328
300,10,skipgram,0.8595666970814333,0.8601080993046496,0.8636186256351308,0.8566494021887104,0.9230255360163062
300,15,skipgram,0.8598883261278587,0.8604901953002473,0.8643620856023665,0.8566673306443281,0.9224742215849396
300,20,skipgram,0.8589484514206299,0.859437146729445,0.8625009989741261,0.8564056129596958,0.9213565999557912
300,25,skipgram,0.8568955754818341,0.8572942699043301,0.8598712503861783,0.8547588076512109,0.9194773138079778
300,30,skipgram,0.8558815106836086,0.8561624328844457,0.858022716781633,0.8543184135840702,0.9188005751156242
300,35,skipgram,0.855584823723677,0.8557891115488566,0.8571604672332448,0.8544495901007437,0.917794075232568
300,40,skipgram,0.8543975895820806,0.854596574144165,0.8559507499151223,0.8532585228974353,0.9174124738127368
300,45,skipgram,0.8537545425258906,0.8536891625898141,0.8534870572544572,0.8539122415185781,0.9164319149621876
300,50,skipgram,0.8542491696395563,0.8542367454892942,0.8543693928215047,0.8541231926886541,0.9165839308106134
400,5,skipgram,0.8560051904007926,0.8568348760301794,0.861933805088497,0.8518016987252445,0.9198051562001036
400,10,skipgram,0.8626088884176077,0.8631055543581224,0.8663515760548641,0.8598980475788419,0.925367804537908
400,15,skipgram,0.8628314342225796,0.8635195064942252,0.8681078868182139,0.858989008397449,0.9257762742708427
400,20,skipgram,0.8614464097938628,0.8619893729740061,0.8656219648001482,0.8583928956129654,0.9239141305446392
400,25,skipgram,0.8605560400053328,0.8608661232162834,0.8628913281400266,0.8588620155304231,0.9225878528294944
400,30,skipgram,0.8576375803808821,0.8580487680348441,0.8607006020042774,0.8554223243751455,0.9207741969263924
400,35,skipgram,0.8583795485779019,0.8588435060511278,0.8618422270436158,0.8558807182221434,0.9203900169347008
400,40,skipgram,0.856450389058318,0.8567555958449194,0.8586981510347169,0.8548444474589489,0.919022405165436
400,45,skipgram,0.8561289129370092,0.8564147881572051,0.8583503366779667,0.8545409041795476,0.9189511854454868
400,50,skipgram,0.8548675254064436,0.8550356319560224,0.8561652029930148,0.8539288389995783,0.9174168618363684
500,5,skipgram,0.8547685186275485,0.8555873963579625,0.8605986801793944,0.8506459154113635,0.9191654322297672
500,10,skipgram,0.8631282618736182,0.8636935254146676,0.8673443695738069,0.8600879777432644,0.92593885611838
500,15,skipgram,0.8647359146868702,0.8654347971050793,0.870058268283651,0.8608698702738515,0.9268495233188918
500,20,skipgram,0.863895031466025,0.8644071621550034,0.8677018203046402,0.8611452846207645,0.9258642991295356
500,25,skipgram,0.8608527514332829,0.861113083426195,0.8629195921555365,0.8593402611628511,0.9243487051466668
500,30,skipgram,0.8606549244441348,0.8611525625160124,0.8643690636284587,0.8579717851674682,0.9226493693678958
500,35,skipgram,0.8593193131790468,0.8597645607947616,0.8626918171717639,0.8568912729866482,0.9217984803861926
500,40,skipgram,0.8589236408497364,0.8591387531421144,0.8606129588467242,0.8576889454756719,0.9212685787868
500,45,skipgram,0.8584784116071876,0.8588924596672666,0.8615594914301573,0.8562628701253944,0.9205210631221318
500,50,skipgram,0.8577364678781864,0.8579302696756489,0.8592775386775939,0.8566105341630008,0.9192276212663504
600,5,skipgram,0.8555599428072298,0.856327599944587,0.8610945586754145,0.8516263296510452,0.9198115237043056
