length_used,w2v_type,vector_size,epochs,ngrams,model,accuracy,f1,recall,precision,roc_auc
,skipgram,600,15,"(1, 1)",LogisticRegression,0.8642164770023106,0.8647219267618953,0.8681544600512539,0.861327709074625,0.9277309982741268
,skipgram,600,15,"(1, 1)",LightGBM,0.859789230652396,0.8615413386583016,0.8727041584489633,0.8506726346995583,0.9379846849556396
,skipgram,600,15,"(1, 1)",Catboost,0.8711169139735967,0.8722285615923633,0.8799809091990886,0.8646160130020973,0.9455895756006268
None,skipgram,600,15,"(1, 2)",LogisticRegression,0.8797982250960453,0.8816076217281523,0.8952189518052742,0.8684172509144028,0.9409221999723375
None,skipgram,600,15,"(1, 2)",LightGBM,0.8662197623843424,0.8727801255087831,0.9173128646951346,0.8328386543393058,0.9502119466314856
None,skipgram,600,15,"(1, 2)",Catboost,0.8867727695787655,0.8896173455694967,0.9124898234339354,0.8682405499196291,0.9571948158365252
