length_used,w2v_type,vector_size,epochs,ngrams,model,accuracy,f1,recall,precision,roc_auc
,cbow,300,30,"(1, 1)",LogisticRegression,0.8604570638114609,0.8614011981362625,0.867455622374756,0.8554341514941836,0.92328538857517
,cbow,300,30,"(1, 1)",LightGBM,0.8610010184506907,0.8638633343493801,0.8822985109494885,0.8461955959321447,0.9392626786065786
,cbow,300,30,"(1, 1)",Catboost,0.8697318834278752,0.871864868793263,0.8865980345772915,0.8576258088470972,0.944711130328784
,cbow,300,30,"(1, 1)",XGBoost,0.8633754928508885,0.8649668235569716,0.8753689603537584,0.8548179146227286,0.9411573417169048
,cbow,300,30,"(1, 1)",AdaBoost,0.8226405451401148,0.8228103096482297,0.8237062376849197,0.8219353779754706,0.9014081679709044
,cbow,300,30,"(1, 1)",KNN,0.8285021526198166,0.8299182172714292,0.8368598483063913,0.823118056050584,0.889266469722385
,cbow,300,30,"(1, 1)",SVM,0.6963554978001569,0.7206114152889491,0.7852328202345003,0.6700946610531826,0.7959966502642526
MinMaxScaler,cbow,300,30,"(1, 1)",LogisticRegression,0.8609022380009679,0.8616808494952188,0.8667141337551063,0.8567118514884384,0.9234687915589124
MinMaxScaler,cbow,300,30,"(1, 1)",LightGBM,0.8841510794938093,0.8850064504419446,0.8917490147292035,0.8783705886085856,0.9571018617984232
MinMaxScaler,cbow,300,30,"(1, 1)",Catboost,0.892634548334598,0.892973926922774,0.8960060234684469,0.8899826058706486,0.9615553645706332
MinMaxScaler,cbow,300,30,"(1, 1)",XGBoost,0.8861297959266314,0.8861706680211473,0.8865586337776177,0.885806271645466,0.9583132992114096
MinMaxScaler,cbow,300,30,"(1, 1)",AdaBoost,0.8411407956773329,0.8409709026961844,0.8400585973902782,0.8418922448142032,0.9164281463113596
MinMaxScaler,cbow,300,30,"(1, 1)",KNN,0.8289226018764951,0.8301802964772742,0.8363672146313729,0.8241156805862568,0.8897463719991029
MinMaxScaler,cbow,300,30,"(1, 1)",SVM,0.6952410009609509,0.7337751728340713,0.8377227964221202,0.6541231200212491,0.8177175636538084
StandardScaler,cbow,300,30,"(1, 1)",LogisticRegression,0.8609022380009679,0.8616676974812858,0.8666155653581813,0.8567823684056481,0.9234699905617104
StandardScaler,cbow,300,30,"(1, 1)",LightGBM,0.8853383075184013,0.8862935617970171,0.8938670782804772,0.8788574319422372,0.9575070893598268
StandardScaler,cbow,300,30,"(1, 1)",Catboost,0.892634548334598,0.892973926922774,0.8960060234684469,0.8899826058706486,0.9615553645706332
StandardScaler,cbow,300,30,"(1, 1)",XGBoost,0.8861297959266314,0.8861706680211473,0.8865586337776177,0.885806271645466,0.9583132992114096
StandardScaler,cbow,300,30,"(1, 1)",AdaBoost,0.8411407956773329,0.8409709026961844,0.8400585973902782,0.8418922448142032,0.9164281463113596
StandardScaler,cbow,300,30,"(1, 1)",KNN,0.8418084208582396,0.8394333640724169,0.827104219320445,0.8521740453662527,0.9059291682094924
StandardScaler,cbow,300,30,"(1, 1)",SVM,0.773843547390469,0.7876915587579789,0.8376198213366344,0.7460803478512068,0.8755830147515773
,cbow,300,30,"(1, 2)",LogisticRegression,0.8671842305087993,0.8677309508578421,0.8716178520426962,0.8639079717700315,0.92879369283926
