,length_used,w2v_type,vector_size,epochs,ngrams,model,accuracy,f1,recall,precision,roc_auc
0,None,skipgram,600,15,"(1, 1)",LogisticRegression,0.8651316359522176,0.86577791432713,0.870177239119563,0.8614333206109326,0.9279054220784332
1,None,skipgram,600,15,"(1, 1)",LightGBM,0.8577364709366886,0.8592391284296838,0.8685327657472481,0.8501872432919113,0.9380428850280487
2,None,skipgram,600,15,"(1, 1)",Catboost,0.8710179897742645,0.8722503200860533,0.8807924005424128,0.8638902951586959,0.9458758022693626
3,None,skipgram,600,15,"(1, 1)",XGBoost,0.8636722623903829,0.8640067077305538,0.8662844069106838,0.86175728123985,0.9414987692110799
4,None,skipgram,600,15,"(1, 1)",AdaBoost,0.8029281581353362,0.7987421358731984,0.7823741903205701,0.8158753613861739,0.8877932748630469
5,None,skipgram,600,15,"(1, 1)",KNN,0.804857556218102,0.8161266534214555,0.8662386811096766,0.7715437449671106,0.8702254652343292
6,None,skipgram,600,15,"(1, 1)",SVM,0.5132564115919562,0.6606831323313715,0.947773506342271,0.5071605279342144,0.7466815889989771
