length_used,text_extraction,ngrams,model,accuracy,f1,roc_auc
None,tfidf,"(1, 1)",LogisticRegression,0.8582557281696108,0.8579757314222836,0.9357666768270392
MinMaxScaler,tfidf,"(1, 1)",LogisticRegression,0.8602096370900417,0.8599041379031869,0.9365948315168527
None,tfidf,"(1, 2)",LogisticRegression,0.8880093465384377,0.8874155986875515,0.9571158368970302
MinMaxScaler,tfidf,"(1, 2)",LogisticRegression,0.8911751380707352,0.8904409305463676,0.9591022577468962
None,tfidf,"(1, 3)",LogisticRegression,0.8892707463030124,0.8887956256481887,0.9582514732932648
MinMaxScaler,tfidf,"(1, 3)",LogisticRegression,0.8931042945318168,0.8923397408778309,0.9602310925224511
