data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.68948,0.72958,0.83783,0.64613,0.68946,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.68846,0.71316,0.77469,0.66084,0.7554,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.68713,0.71011,0.76644,0.66155,0.75033,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.70214,0.7429,0.86078,0.65347,0.78596,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.69643,0.71812,0.77348,0.67025,0.77678,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.69398,0.71403,0.76416,0.67019,0.77102,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.70815,0.74836,0.86806,0.65771,0.81398,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.83849,0.83737,0.83187,0.84298,0.92428,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.6757,0.70359,0.76986,0.64788,0.67572,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.66672,0.69488,0.75909,0.64073,0.66673,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.69252,0.73148,0.83768,0.64922,0.6925,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.69148,0.7145,0.77222,0.66496,0.75827,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.68982,0.71174,0.76591,0.66477,0.75179,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.70709,0.74563,0.85871,0.65892,0.79012,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.70041,0.71981,0.76974,0.67612,0.77945,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.69732,0.71521,0.76023,0.67533,0.7723,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.71295,0.75068,0.86441,0.66348,0.81695,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.77896,0.75539,0.68255,0.8457,0.85194,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.68777,0.6902,0.69485,0.69025,0.68833,
