n_grams,feature_extraction,model,accuracy,f1,roc_auc,length_used
"(1, 3)",TF_IDF,AdaBoost,0.758780190973497,0.7552673129258817,0.8462269958625214,MinMaxScaler
"(2, 2)",TF_IDF,AdaBoost,0.7473289930942382,0.7261502297425998,0.8066538064682518,MinMaxScaler
"(2, 3)",TF_IDF,AdaBoost,0.7478483390237278,0.7262285289045256,0.8061691934888764,MinMaxScaler
"(3, 3)",TF_IDF,AdaBoost,0.7006084278683269,0.6319275384516132,0.7471555333840328,MinMaxScaler
"(1, 1)",TF_IDF,KNN,0.6506228227095388,0.7276388135723253,0.7917482641703242,MinMaxScaler
"(1, 2)",TF_IDF,KNN,0.7059502979302412,0.7562246749797351,0.8344098958561487,MinMaxScaler
"(1, 3)",TF_IDF,KNN,0.7148293993398102,0.7607244186295576,0.8405353323097217,MinMaxScaler
"('1', '1')",TF_IDF,Logistics,0.858256,0.857967,0.935866,
"('1', '2')",TF_IDF,Logistics,0.888924,0.888328,0.957493,
"('1', '3')",TF_IDF,Logistics,0.890309,0.889736,0.958575,
